CODGEO;P21_LOG;P21_RP;P21_RSECOCC;P21_LOGVAC;P21_MAISON;P21_APPART;P21_RP_1P;P10_RP_HABFOR;P10_RP_CASE;P10_RP_MIBOIS;P10_RP_MIDUR
69032;934.22315189035;812.141161168669;37.2453531015299;84.8366376201513;761.59182629729;168.699912131367;4.64578831692547;;;;
69033;1161.47163064766;1095.08001601786;10.21409455843;56.177520071365;1050.83545675172;108.591129164145;5.15271948061396;;;;
69034;23180.4983837442;21042.4326341062;461.665396293728;1676.40035334431;3531.48430881843;19565.537192372;1582.84949709176;;;;
69035;239.875034941606;163.875034941606;45;31;234.886334988409;3.9886999531963;0;;;;
69036;497.52678892151;451.091625869371;9.0851405971576;37.3500224549812;409.795604619932;86.7146496177667;2.06098968818824;;;;
69037;440.994216981469;368.348477071155;42.3766816143497;30.2690582959641;394.225756531953;44.7549544056316;3.06712984367707;;;;
69038;503.778454410642;392.788187364271;59.9947389439843;50.9955281023867;467.151122532604;34.5599961055008;1.03366788626839;;;;
69039;362.313330406627;294.485222143759;31.8586569113469;35.9694513515207;332.407025246638;29.0004313884033;0.905873771585166;;;;
69040;3025.22850145244;2751.9920425811;52.1633239663463;221.073134904991;803.008959643772;2214.751711722;136.436934471288;;;;
69042;240.034817064503;217.558947499285;8.1730434782609;14.3028260869566;223.289683597347;16.7451334671559;0;;;;
69043;3913.58372066455;3627.7102085852;55.7211082866521;230.152403792694;2593.88593507089;1298.33027515347;53.4868322172092;;;;
69044;2673.03486704899;2369.61914454285;48.1280111561468;255.287711349996;1397.86761640865;1266.69265710437;39.8379333840296;;;;
69045;574.032517248355;509.833182841485;26.3675837742504;37.8317506326202;474.83161210242;97.1920728063971;2.58724696110204;;;;
69046;1935.10812744203;1841.63612366725;20.5432975329169;72.9287062418549;1587.54942990226;345.444692536722;7.50667512516625;;;;
69047;486.348443200631;409.352900114458;46.6639655067711;30.3315775794012;420.988992530316;64.1928515326454;2.85841014006492;;;;
69049;1233.93953192209;1116.98970419902;40.0091515894687;76.9406761335937;960.989821224171;269.855929042404;2.10876291236297;;;;
69050;1010.77961508845;894.25002380821;33.7322501074382;82.7973411728027;874.148676465462;134.538346810716;7.45654815181749;;;;
69051;503.231691069475;461.982198168867;18.1095334685599;23.1399594320487;465.998296883169;33.208664517384;0;;;;
69052;1832.70687152074;1740.21074056836;34.5589939822082;57.9371369701726;1398.0041953485;429.54225017717;51.695331265963;;;;
69053;285.008662239202;223.008662239202;37;25;266.903812774215;18.1048494649873;1.01703867128476;;;;
69054;248.004693011642;164.368677685972;64.4904214559386;19.1455938697318;233.949964162215;14.0547288494266;4.00311862994357;;;;
69055;659.450604703651;608.009049753225;13.0942139873812;38.3473409630449;503.820766772029;153.631127773692;1.00007501913743;;;;
